Location,State,Total Biomass Residue (thousand tonnes/yr),Crop Residue,Manure Residue,Forest Residue,Primary Mill Residue,Secondary Mill Residue,Urban Residue,Landfill Residue
Putnam,Florida,348327.604,0.000,13.137,39729.000,288947.000,285.624,7395.422,11840.970
Dixie,Florida,241319.335,0.000,21.474,83309.000,156314.000,0.000,1524.989,0.000
Flagler,Florida,58915.110,0.000,9.853,43576.000,9619.000,277.459,5350.395,0.000
Marion,Florida,86037.560,1758.050,479.168,44652.000,1329.000,901.778,27310.021,9179.401
Levy,Florida,112747.759,3744.373,1084.172,96670.000,6978.000,252.965,3754.894,0.000
Volusia,Florida,96723.373,0.000,29.041,28720.000,2894.000,1380.031,46258.193,16708.996
Seminole,Florida,57402.590,0.000,10.948,1690.000,0.000,5094.655,38333.938,11669.161
Clinch,Georgia,229733.572,0.000,0.000,67209.000,161037.000,244.800,1193.297,0.000
Nacogdoches,Texas,232720.303,0.000,1559.714,86036.000,134878.000,297.871,6545.982,2608.108
Screven,Georgia,96991.427,16437.140,268.046,46110.000,0.000,248.882,1743.511,0.000
Wilkinson,Georgia,118614.770,171.879,3.074,81745.000,32284.000,1224.900,1280.227,0.000
Monroe,Georgia,250624.620,301.600,760.628,29826.000,208808.000,984.182,2883.594,5293.701
Baldwin,Georgia,65289.852,23.100,215.353,25595.000,32831.000,493.682,5622.345,0.000
Colorado,Texas,84657.064,56080.958,276.420,0.000,0.000,4.082,2282.739,25614.000
Fort Bend,Texas,124579.774,69145.250,110.814,0.000,0.000,1265.724,38648.863,14823.000
Wharton,Texas,211061.977,205734.616,100.115,0.000,0.000,277.459,4881.679,0.000
Des Moines,Iowa,204232.061,143638.371,997.010,2841.000,0.000,980.100,4640.601,7660.869
Fremont,Iowa,211232.008,151601.215,196.727,7913.000,0.000,0.000,826.185,0.000
Chariton,Missouri,393812.647,152950.203,993.530,21200.000,0.000,0.000,899.746,0.000
Brazoria,Texas,77180.094,38659.942,275.170,0.000,0.000,518.177,27261.277,10065.741
Boone,Missouri,129834.882,49029.562,490.989,6858.000,5634.000,762.977,14897.385,6177.000
Jackson,Missouri,163260.223,41474.130,63.807,3766.000,0.000,6115.579,69920.757,39068.000
Lincoln,Missouri,152751.074,68472.866,1425.146,6991.000,16554.000,265.212,4334.166,0.000
Montgomery,Missouri,143189.593,79332.229,1342.325,5648.000,0.000,257.047,1475.624,938.130
Callaway,Missouri,177636.140,61155.153,1309.913,12767.000,21013.000,20.412,4710.006,883.776
Bates,Missouri,195970.660,89210.612,1356.858,4892.000,0.000,252.965,1866.493,419.254
Johnson,Kansas,123358.081,14734.877,44.246,3860.000,0.000,3535.142,54359.246,36123.041
Jackson,Texas,90734.979,88809.352,78.351,0.000,0.000,4.082,1819.397,0.000
Galveston,Texas,55097.732,1214.850,17.411,0.000,0.000,289.706,28254.104,24908.000
Clay,Minnesota,402953.698,207949.187,307.549,8704.000,1184.000,522.259,5045.867,0.000
Aitkin,Minnesota,96903.538,2328.200,28.932,74359.000,15249.000,984.182,1597.872,0.000
Gogebic,Michigan,104443.811,0.000,0.000,38400.000,63345.000,252.965,2417.123,0.000
Luce,Michigan,67647.783,0.000,0.000,33931.000,32539.000,244.800,921.368,0.000
Alger,Michigan,77325.132,0.000,0.000,34915.000,41042.000,4.082,1347.742,0.000
Christian,Kentucky,379293.559,123407.175,784.892,31749.000,8995.000,510.012,7922.367,7372.399
Iron,Michigan,74710.256,0.000,0.000,71664.000,462.000,269.294,2007.469,0.000
Dickinson,Michigan,257299.233,939.050,0.000,34780.000,216873.000,510.012,3339.345,0.000
Delta,Michigan,228646.601,3625.110,75.000,48003.000,171123.000,261.130,5099.671,0.000
Victoria,Texas,58036.541,41039.696,87.057,0.000,0.000,12.247,9675.061,7083.433
Baltimore City,Maryland,104634.468,0.000,0.000,0.000,0.000,3894.250,76143.970,23519.500
Caroline,Maryland,96375.545,51291.401,216.047,6327.000,16099.000,8.165,3658.857,5044.361
Prince George's,Maryland,184219.984,4436.757,0.000,9425.000,0.000,3282.178,94068.887,69656.000
Kent,Maryland,77121.889,53094.522,191.782,3881.000,0.000,244.800,2332.943,1494.500
Montgomery,Maryland,171120.913,18399.983,90.035,2515.000,6116.000,2387.808,102367.207,27113.000
Talbot,Maryland,73061.806,43557.197,25.571,8298.000,0.000,24.494,4039.939,1063.129
Queen Anne's,Maryland,112578.342,71885.108,92.498,6409.000,0.000,758.894,4828.439,1784.000
Anne Arundel,Maryland,87325.246,6435.403,0.000,14419.000,6388.000,1061.748,57462.960,0.000
Somerset,Maryland,60466.913,17803.788,57.159,13800.000,11844.000,8.165,2981.169,1096.645
Essex,Massachusetts,92427.631,0.000,0.000,3216.000,6069.000,4144.032,77802.353,0.000
Berkshire,Massachusetts,53334.689,0.000,0.000,16105.000,20060.000,2244.924,14701.607,0.000
Washington,Kansas,230985.025,105588.298,1931.464,2851.000,0.000,0.000,776.031,0.000
Middlesex,Massachusetts,197889.248,0.000,21.401,6391.000,6691.000,11095.927,158496.741,12770.000
Worcester,Massachusetts,154238.962,0.000,18.198,18739.000,21865.000,8380.915,80747.377,23224.000
Suffolk,Massachusetts,77914.417,0.000,0.000,0.000,0.000,2020.536,74753.216,0.000
Lee,Iowa,258893.229,132379.043,1047.371,14629.000,10677.000,493.682,4287.964,2694.755
Murray,Georgia,59854.560,0.000,963.294,37677.000,16302.000,510.012,4106.016,0.000
Whitfield,Georgia,58250.537,0.000,1187.303,8588.000,29871.000,783.389,9160.637,7838.061
Floyd,Georgia,328475.156,2845.312,1123.994,42164.000,263934.000,73.483,10371.349,0.000
Matagorda,Texas,91974.320,87132.555,113.174,0.000,0.000,0.000,4443.561,0.000
Cherokee,Georgia,52375.601,0.000,2372.038,15771.000,15756.000,2613.096,15617.930,0.000
